,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Event Name,Event Type,Department,Event Date,Feedback Comments,Overall Satisfaction
223,176,10,2,6,7,4,10,1,3,Cultural Night,Cultural,Student Affairs,13/06/2026,Disorganized and waste of time.,5.38
224,883,7,4,4,2,8,6,7,4,Code-a-thon,Tech Fest,Computer Science,17/06/2026,Disorganized and waste of time.,5.25
225,831,5,2,8,3,5,10,7,7,AI Workshop,Workshop,Computer Science,21/06/2026,"It was okay, but could be better.",5.88
226,220,10,5,8,7,9,7,2,7,Robotics Challenge,Tech Fest,Mechanical,25/06/2026,"It was okay, but could be better.",6.88
227,17,7,6,5,3,9,5,5,2,Business Seminar,Seminar,Business,29/06/2026,Disorganized and waste of time.,5.25
228,938,10,10,6,5,2,9,9,9,Cultural Night,Cultural,Student Affairs,03/07/2026,Amazing and very helpful!,7.50
229,651,8,7,6,3,9,10,6,1,Code-a-thon,Tech Fest,Computer Science,07/07/2026,Disorganized and waste of time.,6.25
230,953,5,10,8,10,6,4,6,4,AI Workshop,Workshop,Computer Science,11/07/2026,Disorganized and waste of time.,6.63
231,902,5,8,6,10,4,5,5,9,Robotics Challenge,Tech Fest,Mechanical,15/07/2026,Amazing and very helpful!,6.50
232,167,7,7,5,8,6,9,9,8,Business Seminar,Seminar,Business,19/07/2026,Amazing and very helpful!,7.38
233,669,9,3,4,5,2,2,1,6,Cultural Night,Cultural,Student Affairs,23/07/2026,"It was okay, but could be better.",4.00
234,859,8,3,5,9,10,3,1,6,Code-a-thon,Tech Fest,Computer Science,27/07/2026,"It was okay, but could be better.",5.63
235,120,8,4,7,5,4,4,10,6,AI Workshop,Workshop,Computer Science,31/07/2026,"It was okay, but could be better.",6.00
236,293,10,4,7,1,6,7,7,4,Robotics Challenge,Tech Fest,Mechanical,04/08/2026,Disorganized and waste of time.,5.75
237,789,10,2,8,7,9,8,1,4,Business Seminar,Seminar,Business,08/08/2026,Disorganized and waste of time.,6.13
238,182,5,2,7,2,3,6,1,9,Cultural Night,Cultural,Student Affairs,12/08/2026,Amazing and very helpful!,4.38
239,369,10,5,4,4,3,7,4,10,Code-a-thon,Tech Fest,Computer Science,16/08/2026,Amazing and very helpful!,5.88
240,207,6,8,6,7,9,7,2,5,AI Workshop,Workshop,Computer Science,20/08/2026,"It was okay, but could be better.",6.25
241,842,10,7,5,3,3,6,4,6,Robotics Challenge,Tech Fest,Mechanical,24/08/2026,"It was okay, but could be better.",5.50
242,38,5,8,7,6,10,8,9,5,Business Seminar,Seminar,Business,28/08/2026,"It was okay, but could be better.",7.25
243,495,5,4,7,9,6,10,5,9,Cultural Night,Cultural,Student Affairs,01/09/2026,Amazing and very helpful!,6.88
244,942,10,6,8,3,7,8,4,5,Code-a-thon,Tech Fest,Computer Science,05/09/2026,"It was okay, but could be better.",6.38
245,752,10,7,4,4,4,9,10,7,AI Workshop,Workshop,Computer Science,09/09/2026,"It was okay, but could be better.",6.88
246,940,7,3,6,9,10,8,3,5,Robotics Challenge,Tech Fest,Mechanical,13/09/2026,"It was okay, but could be better.",6.38
247,648,5,7,7,9,6,3,10,3,Business Seminar,Seminar,Business,17/09/2026,Disorganized and waste of time.,6.25
248,125,6,2,4,5,9,7,7,7,Cultural Night,Cultural,Student Affairs,21/09/2026,"It was okay, but could be better.",5.88
249,516,10,2,8,9,2,3,3,1,Code-a-thon,Tech Fest,Computer Science,25/09/2026,Disorganized and waste of time.,4.75
250,963,9,6,4,5,3,3,6,6,AI Workshop,Workshop,Computer Science,29/09/2026,"It was okay, but could be better.",5.25
251,215,5,6,6,2,1,9,5,8,Robotics Challenge,Tech Fest,Mechanical,03/10/2026,Amazing and very helpful!,5.25
252,823,7,5,8,3,4,3,1,10,Business Seminar,Seminar,Business,07/10/2026,Amazing and very helpful!,5.13
253,840,5,7,5,6,9,9,10,6,Cultural Night,Cultural,Student Affairs,11/10/2026,"It was okay, but could be better.",7.13
254,429,8,3,5,1,8,1,8,9,Code-a-thon,Tech Fest,Computer Science,15/10/2026,Amazing and very helpful!,5.38
255,109,6,3,5,6,1,6,6,10,AI Workshop,Workshop,Computer Science,19/10/2026,Amazing and very helpful!,5.38
256,795,6,9,8,4,2,6,10,6,Robotics Challenge,Tech Fest,Mechanical,23/10/2026,"It was okay, but could be better.",6.38
257,760,9,4,4,3,8,5,10,1,Business Seminar,Seminar,Business,27/10/2026,Disorganized and waste of time.,5.50
258,536,10,10,4,7,8,7,6,2,Cultural Night,Cultural,Student Affairs,31/10/2026,Disorganized and waste of time.,6.75
259,888,6,6,5,2,3,6,6,3,Code-a-thon,Tech Fest,Computer Science,04/11/2026,Disorganized and waste of time.,4.63
260,719,10,10,8,7,6,10,6,4,AI Workshop,Workshop,Computer Science,08/11/2026,Disorganized and waste of time.,7.63
261,654,6,4,4,9,5,8,8,2,Robotics Challenge,Tech Fest,Mechanical,12/11/2026,Disorganized and waste of time.,5.75
262,947,7,3,8,1,5,9,7,2,Business Seminar,Seminar,Business,16/11/2026,Disorganized and waste of time.,5.25
263,403,5,7,6,6,5,6,4,6,Cultural Night,Cultural,Student Affairs,20/11/2026,"It was okay, but could be better.",5.63
264,124,9,9,7,9,1,9,4,3,Code-a-thon,Tech Fest,Computer Science,24/11/2026,Disorganized and waste of time.,6.38
265,548,9,8,6,7,1,2,7,6,AI Workshop,Workshop,Computer Science,28/11/2026,"It was okay, but could be better.",5.75
266,880,7,3,6,3,5,3,3,10,Robotics Challenge,Tech Fest,Mechanical,02/12/2026,Amazing and very helpful!,5.00
267,939,10,10,7,4,1,2,3,9,Business Seminar,Seminar,Business,06/12/2026,Amazing and very helpful!,5.75
268,166,6,10,4,4,4,8,4,6,Cultural Night,Cultural,Student Affairs,10/12/2026,"It was okay, but could be better.",5.75
269,885,5,6,7,7,2,2,5,7,Code-a-thon,Tech Fest,Computer Science,14/12/2026,"It was okay, but could be better.",5.13
270,112,7,9,6,9,1,7,1,2,AI Workshop,Workshop,Computer Science,18/12/2026,Disorganized and waste of time.,5.25
271,811,8,8,8,6,1,4,9,1,Robotics Challenge,Tech Fest,Mechanical,22/12/2026,Disorganized and waste of time.,5.63
272,213,10,8,4,10,1,5,6,2,Business Seminar,Seminar,Business,26/12/2026,Disorganized and waste of time.,5.75
273,375,10,4,4,1,3,4,7,9,Cultural Night,Cultural,Student Affairs,30/12/2026,Amazing and very helpful!,5.25
274,897,6,7,4,1,9,8,8,7,Code-a-thon,Tech Fest,Computer Science,03/01/2027,"It was okay, but could be better.",6.25
275,460,7,8,5,6,7,7,6,7,AI Workshop,Workshop,Computer Science,07/01/2027,"It was okay, but could be better.",6.63
276,416,6,2,5,8,9,6,3,7,Robotics Challenge,Tech Fest,Mechanical,11/01/2027,"It was okay, but could be better.",5.75
277,571,8,9,7,3,1,8,9,7,Business Seminar,Seminar,Business,15/01/2027,"It was okay, but could be better.",6.50
278,744,8,5,7,3,10,4,6,7,Cultural Night,Cultural,Student Affairs,19/01/2027,"It was okay, but could be better.",6.25
279,378,9,8,7,2,4,7,2,6,Code-a-thon,Tech Fest,Computer Science,23/01/2027,"It was okay, but could be better.",5.63
280,121,5,9,5,2,4,5,6,6,AI Workshop,Workshop,Computer Science,27/01/2027,"It was okay, but could be better.",5.25
281,462,10,4,8,5,4,6,4,7,Robotics Challenge,Tech Fest,Mechanical,31/01/2027,"It was okay, but could be better.",6.00
282,777,8,6,4,6,4,7,10,1,Business Seminar,Seminar,Business,04/02/2027,Disorganized and waste of time.,5.75
283,845,5,10,6,8,4,4,4,5,Cultural Night,Cultural,Student Affairs,08/02/2027,"It was okay, but could be better.",5.75
284,533,6,10,5,7,2,5,10,10,Code-a-thon,Tech Fest,Computer Science,12/02/2027,Amazing and very helpful!,6.88
285,450,5,2,6,2,4,5,1,4,AI Workshop,Workshop,Computer Science,16/02/2027,Disorganized and waste of time.,3.63
286,717,6,2,4,6,6,2,6,9,Robotics Challenge,Tech Fest,Mechanical,20/02/2027,Amazing and very helpful!,5.13
287,469,10,8,6,1,3,5,8,10,Business Seminar,Seminar,Business,24/02/2027,Amazing and very helpful!,6.38
288,670,7,7,8,1,6,1,2,1,Cultural Night,Cultural,Student Affairs,28/02/2027,Disorganized and waste of time.,4.13
289,137,8,2,5,2,4,9,7,8,Code-a-thon,Tech Fest,Computer Science,04/03/2027,Amazing and very helpful!,5.63
290,801,10,7,4,3,6,1,10,4,AI Workshop,Workshop,Computer Science,08/03/2027,Disorganized and waste of time.,5.63
291,315,5,10,5,10,8,4,8,4,Robotics Challenge,Tech Fest,Mechanical,12/03/2027,Disorganized and waste of time.,6.75
292,153,7,7,5,3,8,9,8,9,Business Seminar,Seminar,Business,16/03/2027,Amazing and very helpful!,7.00
293,190,8,6,7,5,6,4,3,8,Cultural Night,Cultural,Student Affairs,20/03/2027,Amazing and very helpful!,5.88
294,22,7,9,4,1,2,8,10,4,Code-a-thon,Tech Fest,Computer Science,24/03/2027,Disorganized and waste of time.,5.63
295,949,9,8,7,1,7,6,9,4,AI Workshop,Workshop,Computer Science,28/03/2027,Disorganized and waste of time.,6.38
296,523,10,2,6,9,7,5,10,9,Robotics Challenge,Tech Fest,Mechanical,01/04/2027,Amazing and very helpful!,7.25
297,527,5,6,5,2,8,6,9,8,Business Seminar,Seminar,Business,05/04/2027,Amazing and very helpful!,6.13
298,461,7,10,7,6,6,8,4,9,Cultural Night,Cultural,Student Affairs,09/04/2027,Amazing and very helpful!,7.13
299,244,5,8,4,9,3,10,1,3,Code-a-thon,Tech Fest,Computer Science,13/04/2027,Disorganized and waste of time.,5.38
300,363,9,3,8,10,2,7,5,1,AI Workshop,Workshop,Computer Science,17/04/2027,Disorganized and waste of time.,5.63
301,610,8,10,6,8,2,1,5,1,Robotics Challenge,Tech Fest,Mechanical,21/04/2027,Disorganized and waste of time.,5.13
302,381,9,2,8,8,1,9,1,2,Business Seminar,Seminar,Business,25/04/2027,Disorganized and waste of time.,5.00
303,954,8,8,6,3,9,5,7,2,Cultural Night,Cultural,Student Affairs,29/04/2027,Disorganized and waste of time.,6.00
304,604,10,9,8,9,4,8,7,9,Code-a-thon,Tech Fest,Computer Science,03/05/2027,Amazing and very helpful!,8.00
305,414,10,6,4,8,2,9,9,3,AI Workshop,Workshop,Computer Science,07/05/2027,Disorganized and waste of time.,6.38
306,151,8,7,5,10,8,3,8,6,Robotics Challenge,Tech Fest,Mechanical,11/05/2027,"It was okay, but could be better.",6.88
307,721,6,9,4,1,4,10,10,9,Business Seminar,Seminar,Business,15/05/2027,Amazing and very helpful!,6.63
308,664,10,8,7,4,8,2,1,10,Cultural Night,Cultural,Student Affairs,19/05/2027,Amazing and very helpful!,6.25
309,956,7,2,6,5,2,3,8,7,Code-a-thon,Tech Fest,Computer Science,23/05/2027,"It was okay, but could be better.",5.00
310,747,5,3,5,6,5,10,3,6,AI Workshop,Workshop,Computer Science,27/05/2027,"It was okay, but could be better.",5.38
311,438,9,6,5,9,2,3,9,3,Robotics Challenge,Tech Fest,Mechanical,31/05/2027,Disorganized and waste of time.,5.75
312,975,5,10,4,8,7,6,8,3,Business Seminar,Seminar,Business,04/06/2027,Disorganized and waste of time.,6.38
313,277,5,6,8,7,2,7,1,10,Cultural Night,Cultural,Student Affairs,08/06/2027,Amazing and very helpful!,5.75
314,312,7,2,7,6,6,3,7,2,Code-a-thon,Tech Fest,Computer Science,12/06/2027,Disorganized and waste of time.,5.00
315,565,10,9,7,10,4,8,5,4,AI Workshop,Workshop,Computer Science,16/06/2027,Disorganized and waste of time.,7.13
316,739,8,7,5,10,1,1,8,1,Robotics Challenge,Tech Fest,Mechanical,20/06/2027,Disorganized and waste of time.,5.13
317,584,8,8,5,8,6,6,9,4,Business Seminar,Seminar,Business,24/06/2027,Disorganized and waste of time.,6.75
318,894,6,3,5,4,7,1,5,5,Cultural Night,Cultural,Student Affairs,28/06/2027,"It was okay, but could be better.",4.50
319,270,9,10,5,9,6,4,7,7,Code-a-thon,Tech Fest,Computer Science,02/07/2027,"It was okay, but could be better.",7.13
320,966,7,4,5,3,1,8,10,2,AI Workshop,Workshop,Computer Science,06/07/2027,Disorganized and waste of time.,5.00
321,489,7,2,5,8,1,1,8,8,Robotics Challenge,Tech Fest,Mechanical,10/07/2027,Amazing and very helpful!,5.00
322,665,6,3,4,2,8,5,8,5,Business Seminar,Seminar,Business,14/07/2027,"It was okay, but could be better.",5.13
323,71,9,10,8,4,9,3,8,2,Cultural Night,Cultural,Student Affairs,18/07/2027,Disorganized and waste of time.,6.63
324,603,7,2,7,1,7,7,1,7,Code-a-thon,Tech Fest,Computer Science,22/07/2027,"It was okay, but could be better.",4.88
325,196,8,10,8,10,6,7,7,7,AI Workshop,Workshop,Computer Science,26/07/2027,"It was okay, but could be better.",7.88
326,804,9,3,7,6,10,7,9,7,Robotics Challenge,Tech Fest,Mechanical,30/07/2027,"It was okay, but could be better.",7.25
327,837,5,10,4,1,4,8,9,1,Business Seminar,Seminar,Business,03/08/2027,Disorganized and waste of time.,5.25
328,530,6,5,4,9,1,2,3,6,Cultural Night,Cultural,Student Affairs,07/08/2027,"It was okay, but could be better.",4.50
329,720,6,6,6,9,10,4,6,7,Code-a-thon,Tech Fest,Computer Science,11/08/2027,"It was okay, but could be better.",6.75
330,272,5,4,6,4,4,7,7,9,AI Workshop,Workshop,Computer Science,15/08/2027,Amazing and very helpful!,5.75
331,984,5,10,6,4,2,10,4,6,Robotics Challenge,Tech Fest,Mechanical,19/08/2027,"It was okay, but could be better.",5.88
332,185,10,3,8,4,1,10,7,9,Business Seminar,Seminar,Business,23/08/2027,Amazing and very helpful!,6.50
333,487,6,6,4,2,10,10,1,9,Cultural Night,Cultural,Student Affairs,27/08/2027,Amazing and very helpful!,6.00
334,75,8,9,8,6,2,7,9,10,Code-a-thon,Tech Fest,Computer Science,31/08/2027,Amazing and very helpful!,7.38
335,718,6,3,6,7,6,6,2,6,AI Workshop,Workshop,Computer Science,04/09/2027,"It was okay, but could be better.",5.25
336,496,10,7,4,6,10,5,3,6,Robotics Challenge,Tech Fest,Mechanical,08/09/2027,"It was okay, but could be better.",6.38
337,630,5,5,4,8,3,6,6,8,Business Seminar,Seminar,Business,12/09/2027,Amazing and very helpful!,5.63
338,637,8,10,5,6,10,8,2,2,Cultural Night,Cultural,Student Affairs,16/09/2027,Disorganized and waste of time.,6.38
339,360,9,9,8,2,3,1,8,6,Code-a-thon,Tech Fest,Computer Science,20/09/2027,"It was okay, but could be better.",5.75
340,183,6,7,5,5,4,7,1,9,AI Workshop,Workshop,Computer Science,24/09/2027,Amazing and very helpful!,5.50
341,689,10,8,7,8,1,9,5,10,Robotics Challenge,Tech Fest,Mechanical,28/09/2027,Amazing and very helpful!,7.25
342,236,6,9,6,4,1,2,8,4,Business Seminar,Seminar,Business,02/10/2027,Disorganized and waste of time.,5.00
343,768,6,6,6,3,5,9,8,3,Cultural Night,Cultural,Student Affairs,06/10/2027,Disorganized and waste of time.,5.75
344,316,7,2,7,8,6,4,2,9,Code-a-thon,Tech Fest,Computer Science,10/10/2027,Amazing and very helpful!,5.63
345,396,6,10,4,6,1,2,4,10,AI Workshop,Workshop,Computer Science,14/10/2027,Amazing and very helpful!,5.38
346,212,6,4,4,6,5,10,10,2,Robotics Challenge,Tech Fest,Mechanical,18/10/2027,Disorganized and waste of time.,5.88
347,830,9,7,7,10,7,8,6,4,Business Seminar,Seminar,Business,22/10/2027,Disorganized and waste of time.,7.25
348,209,9,8,5,3,3,10,7,2,Cultural Night,Cultural,Student Affairs,26/10/2027,Disorganized and waste of time.,5.88
349,62,7,4,4,5,3,10,2,1,Code-a-thon,Tech Fest,Computer Science,30/10/2027,Disorganized and waste of time.,4.50
350,447,8,7,7,1,4,7,10,9,AI Workshop,Workshop,Computer Science,03/11/2027,Amazing and very helpful!,6.63
351,100,6,6,6,10,7,5,7,8,Robotics Challenge,Tech Fest,Mechanical,07/11/2027,Amazing and very helpful!,6.88
352,305,10,8,8,4,6,3,10,4,Business Seminar,Seminar,Business,11/11/2027,Disorganized and waste of time.,6.63
353,494,10,6,6,6,4,10,2,9,Cultural Night,Cultural,Student Affairs,15/11/2027,Amazing and very helpful!,6.63
354,328,10,6,5,4,6,10,8,2,Code-a-thon,Tech Fest,Computer Science,19/11/2027,Disorganized and waste of time.,6.38
355,854,8,2,8,4,6,2,4,7,AI Workshop,Workshop,Computer Science,23/11/2027,"It was okay, but could be better.",5.13
356,866,5,10,4,8,3,7,4,5,Robotics Challenge,Tech Fest,Mechanical,27/11/2027,"It was okay, but could be better.",5.75
357,943,8,9,7,10,6,7,7,6,Business Seminar,Seminar,Business,01/12/2027,"It was okay, but could be better.",7.50
358,734,9,8,5,3,10,1,8,3,Cultural Night,Cultural,Student Affairs,05/12/2027,Disorganized and waste of time.,5.88
359,189,9,3,6,2,3,8,10,7,Code-a-thon,Tech Fest,Computer Science,09/12/2027,"It was okay, but could be better.",6.00
360,404,10,5,7,8,1,5,10,4,AI Workshop,Workshop,Computer Science,13/12/2027,Disorganized and waste of time.,6.25
361,518,7,4,8,5,7,9,2,6,Robotics Challenge,Tech Fest,Mechanical,17/12/2027,"It was okay, but could be better.",6.00
362,856,6,9,4,6,8,8,3,8,Business Seminar,Seminar,Business,21/12/2027,Amazing and very helpful!,6.50
363,70,9,2,5,8,10,9,7,6,Cultural Night,Cultural,Student Affairs,25/12/2027,"It was okay, but could be better.",7.00
364,457,7,4,8,2,3,6,8,4,Code-a-thon,Tech Fest,Computer Science,29/12/2027,Disorganized and waste of time.,5.25
365,148,5,4,4,4,8,10,5,5,AI Workshop,Workshop,Computer Science,02/01/2028,"It was okay, but could be better.",5.63
366,958,10,10,5,8,5,10,7,8,Robotics Challenge,Tech Fest,Mechanical,06/01/2028,Amazing and very helpful!,7.88
367,356,7,3,7,6,4,2,1,10,Business Seminar,Seminar,Business,10/01/2028,Amazing and very helpful!,5.00
368,793,10,9,6,4,7,6,8,3,Cultural Night,Cultural,Student Affairs,14/01/2028,Disorganized and waste of time.,6.63
369,771,8,7,6,4,8,7,3,2,Code-a-thon,Tech Fest,Computer Science,18/01/2028,Disorganized and waste of time.,5.63
370,452,5,6,7,9,7,8,6,1,AI Workshop,Workshop,Computer Science,22/01/2028,Disorganized and waste of time.,6.13
371,72,8,7,7,3,4,1,4,7,Robotics Challenge,Tech Fest,Mechanical,26/01/2028,"It was okay, but could be better.",5.13
372,710,7,2,6,5,7,7,6,10,Business Seminar,Seminar,Business,30/01/2028,Amazing and very helpful!,6.25
373,980,6,3,7,1,5,4,9,4,Cultural Night,Cultural,Student Affairs,03/02/2028,Disorganized and waste of time.,4.88
374,145,6,8,4,6,1,3,2,7,Code-a-thon,Tech Fest,Computer Science,07/02/2028,"It was okay, but could be better.",4.63
375,960,6,9,6,1,3,3,5,8,AI Workshop,Workshop,Computer Science,11/02/2028,Amazing and very helpful!,5.13
376,660,5,7,7,3,10,3,3,4,Robotics Challenge,Tech Fest,Mechanical,15/02/2028,Disorganized and waste of time.,5.25
377,987,9,10,7,8,7,3,8,7,Business Seminar,Seminar,Business,19/02/2028,"It was okay, but could be better.",7.38
378,534,9,5,7,5,2,6,10,8,Cultural Night,Cultural,Student Affairs,23/02/2028,Amazing and very helpful!,6.50
379,858,9,5,5,3,2,2,7,7,Code-a-thon,Tech Fest,Computer Science,27/02/2028,"It was okay, but could be better.",5.00
380,324,10,5,5,2,2,5,7,6,AI Workshop,Workshop,Computer Science,02/03/2028,"It was okay, but could be better.",5.25
381,884,7,4,7,10,5,1,7,4,Robotics Challenge,Tech Fest,Mechanical,06/03/2028,Disorganized and waste of time.,5.63
382,611,8,9,5,3,9,5,8,3,Business Seminar,Seminar,Business,10/03/2028,Disorganized and waste of time.,6.25
383,136,8,6,7,10,9,9,2,3,Cultural Night,Cultural,Student Affairs,14/03/2028,Disorganized and waste of time.,6.75
384,705,9,3,6,3,3,5,1,2,Code-a-thon,Tech Fest,Computer Science,18/03/2028,Disorganized and waste of time.,4.00
385,991,7,4,5,8,9,8,5,1,AI Workshop,Workshop,Computer Science,22/03/2028,Disorganized and waste of time.,5.88
386,676,9,8,5,7,4,10,2,6,Robotics Challenge,Tech Fest,Mechanical,26/03/2028,"It was okay, but could be better.",6.38
387,769,9,8,8,8,1,1,8,5,Business Seminar,Seminar,Business,30/03/2028,"It was okay, but could be better.",6.00
388,246,7,10,8,8,4,10,3,8,Cultural Night,Cultural,Student Affairs,03/04/2028,Amazing and very helpful!,7.25
389,644,9,6,8,2,7,6,4,6,Code-a-thon,Tech Fest,Computer Science,07/04/2028,"It was okay, but could be better.",6.00
390,263,7,9,4,7,9,8,10,7,AI Workshop,Workshop,Computer Science,11/04/2028,"It was okay, but could be better.",7.63
391,476,9,4,6,4,8,6,4,10,Robotics Challenge,Tech Fest,Mechanical,15/04/2028,Amazing and very helpful!,6.38
392,697,7,7,6,1,8,10,5,2,Business Seminar,Seminar,Business,19/04/2028,Disorganized and waste of time.,5.75
393,95,7,2,5,5,9,6,8,3,Cultural Night,Cultural,Student Affairs,23/04/2028,Disorganized and waste of time.,5.63
394,688,8,6,7,5,6,1,4,10,Code-a-thon,Tech Fest,Computer Science,27/04/2028,Amazing and very helpful!,5.88
395,633,8,2,4,7,4,6,7,4,AI Workshop,Workshop,Computer Science,01/05/2028,Disorganized and waste of time.,5.25
396,241,8,3,8,8,10,1,8,6,Robotics Challenge,Tech Fest,Mechanical,05/05/2028,"It was okay, but could be better.",6.50
397,524,9,8,4,6,10,1,9,10,Business Seminar,Seminar,Business,09/05/2028,Amazing and very helpful!,7.13
398,504,9,4,5,6,6,1,7,10,Cultural Night,Cultural,Student Affairs,13/05/2028,Amazing and very helpful!,6.00
399,417,9,6,7,9,5,1,7,2,Code-a-thon,Tech Fest,Computer Science,17/05/2028,Disorganized and waste of time.,5.75
400,554,6,6,8,2,4,6,4,10,AI Workshop,Workshop,Computer Science,21/05/2028,Amazing and very helpful!,5.75
401,656,6,2,7,2,5,6,9,9,Robotics Challenge,Tech Fest,Mechanical,25/05/2028,Amazing and very helpful!,5.75
402,19,10,4,6,3,9,10,9,3,Business Seminar,Seminar,Business,29/05/2028,Disorganized and waste of time.,6.75
403,275,8,5,4,9,5,5,8,10,Cultural Night,Cultural,Student Affairs,02/06/2028,Amazing and very helpful!,6.75
404,478,5,10,7,6,8,7,3,9,Code-a-thon,Tech Fest,Computer Science,06/06/2028,Amazing and very helpful!,6.88
405,132,6,9,5,8,10,3,2,10,AI Workshop,Workshop,Computer Science,10/06/2028,Amazing and very helpful!,6.63
406,515,8,3,5,10,3,4,9,4,Robotics Challenge,Tech Fest,Mechanical,14/06/2028,Disorganized and waste of time.,5.75
407,44,8,9,5,3,6,9,4,9,Business Seminar,Seminar,Business,18/06/2028,Amazing and very helpful!,6.63
408,388,6,10,4,5,6,4,4,9,Cultural Night,Cultural,Student Affairs,22/06/2028,Amazing and very helpful!,6.00
409,204,8,7,6,3,3,10,3,6,Code-a-thon,Tech Fest,Computer Science,26/06/2028,"It was okay, but could be better.",5.75
410,338,5,2,4,6,9,10,9,4,AI Workshop,Workshop,Computer Science,30/06/2028,Disorganized and waste of time.,6.13
411,619,8,7,6,4,3,9,3,8,Robotics Challenge,Tech Fest,Mechanical,04/07/2028,Amazing and very helpful!,6.00
412,205,8,4,4,2,1,7,9,7,Business Seminar,Seminar,Business,08/07/2028,"It was okay, but could be better.",5.25
413,39,7,3,7,10,6,4,8,2,Cultural Night,Cultural,Student Affairs,12/07/2028,Disorganized and waste of time.,5.88
414,53,5,8,5,1,10,8,5,7,Code-a-thon,Tech Fest,Computer Science,16/07/2028,"It was okay, but could be better.",6.13
415,58,9,3,7,1,2,3,10,7,AI Workshop,Workshop,Computer Science,20/07/2028,"It was okay, but could be better.",5.25
416,157,9,6,8,2,8,4,4,3,Robotics Challenge,Tech Fest,Mechanical,24/07/2028,Disorganized and waste of time.,5.50
417,28,8,6,6,9,9,9,4,7,Business Seminar,Seminar,Business,28/07/2028,"It was okay, but could be better.",7.25
418,833,8,6,7,7,7,9,10,9,Cultural Night,Cultural,Student Affairs,01/08/2028,Amazing and very helpful!,7.88
419,252,8,9,4,6,10,2,7,5,Code-a-thon,Tech Fest,Computer Science,05/08/2028,"It was okay, but could be better.",6.38
420,658,8,5,6,7,10,4,6,4,AI Workshop,Workshop,Computer Science,09/08/2028,Disorganized and waste of time.,6.25
421,179,6,3,7,6,2,6,5,2,Robotics Challenge,Tech Fest,Mechanical,13/08/2028,Disorganized and waste of time.,4.63
422,851,9,6,4,10,2,1,3,10,Business Seminar,Seminar,Business,17/08/2028,Amazing and very helpful!,5.63
423,809,7,8,7,5,10,2,8,8,Cultural Night,Cultural,Student Affairs,21/08/2028,Amazing and very helpful!,6.88
424,330,7,7,5,7,9,10,2,2,Code-a-thon,Tech Fest,Computer Science,25/08/2028,Disorganized and waste of time.,6.13
425,94,10,10,4,7,8,2,4,4,AI Workshop,Workshop,Computer Science,29/08/2028,Disorganized and waste of time.,6.13
426,826,10,5,7,2,8,7,10,5,Robotics Challenge,Tech Fest,Mechanical,02/09/2028,"It was okay, but could be better.",6.75
427,227,9,3,6,4,7,4,4,7,Business Seminar,Seminar,Business,06/09/2028,"It was okay, but could be better.",5.50
428,1000,9,8,5,4,10,7,7,10,Cultural Night,Cultural,Student Affairs,10/09/2028,Amazing and very helpful!,7.50
429,114,10,9,7,1,8,4,4,2,Code-a-thon,Tech Fest,Computer Science,14/09/2028,Disorganized and waste of time.,5.63
430,251,5,9,6,9,6,4,5,2,AI Workshop,Workshop,Computer Science,18/09/2028,Disorganized and waste of time.,5.75
431,613,5,6,6,3,9,4,2,9,Robotics Challenge,Tech Fest,Mechanical,22/09/2028,Amazing and very helpful!,5.50
432,101,10,5,6,6,9,8,10,3,Business Seminar,Seminar,Business,26/09/2028,Disorganized and waste of time.,7.13
433,871,7,8,7,10,10,7,2,2,Cultural Night,Cultural,Student Affairs,30/09/2028,Disorganized and waste of time.,6.63
434,551,6,3,5,7,3,1,9,10,Code-a-thon,Tech Fest,Computer Science,04/10/2028,Amazing and very helpful!,5.50
435,931,6,5,7,3,6,5,6,10,AI Workshop,Workshop,Computer Science,08/10/2028,Amazing and very helpful!,6.00
436,49,8,7,8,8,1,1,8,3,Robotics Challenge,Tech Fest,Mechanical,12/10/2028,Disorganized and waste of time.,5.50
437,512,5,10,7,9,9,9,6,9,Business Seminar,Seminar,Business,16/10/2028,Amazing and very helpful!,8.00
438,261,9,9,7,7,4,10,5,9,Cultural Night,Cultural,Student Affairs,20/10/2028,Amazing and very helpful!,7.50
439,754,6,9,4,4,3,10,2,10,Code-a-thon,Tech Fest,Computer Science,24/10/2028,Amazing and very helpful!,6.00
440,345,8,2,8,9,10,10,9,5,AI Workshop,Workshop,Computer Science,28/10/2028,"It was okay, but could be better.",7.63
441,970,10,9,5,7,6,7,4,7,Robotics Challenge,Tech Fest,Mechanical,01/11/2028,"It was okay, but could be better.",6.88
442,990,6,9,6,4,9,5,10,8,Business Seminar,Seminar,Business,05/11/2028,Amazing and very helpful!,7.13
443,911,6,4,4,10,9,4,7,2,Cultural Night,Cultural,Student Affairs,09/11/2028,Disorganized and waste of time.,5.75
444,909,9,8,5,9,5,6,9,7,Code-a-thon,Tech Fest,Computer Science,13/11/2028,"It was okay, but could be better.",7.25
445,817,6,5,7,10,10,4,6,6,AI Workshop,Workshop,Computer Science,17/11/2028,"It was okay, but could be better.",6.75
446,733,10,10,5,1,4,1,3,4,Robotics Challenge,Tech Fest,Mechanical,21/11/2028,Disorganized and waste of time.,4.75
